,x,y
0,419.95,575.2
1,415.2,561.5500000000001
2,410.75,548.7
3,407.19999999999993,536.0999999999999
4,402.6,523.4000000000001
5,398.45,510.34999999999997
6,395.7,497.0
7,394.4,484.10000000000014
8,394.15,471.2999999999999
9,395.5,460.29999999999995
10,396.4,447.65
11,396.0,434.2
12,396.04999999999995,422.0
13,396.40000000000003,410.54999999999995
14,399.25,398.20000000000005
15,403.70000000000005,383.85
16,408.2,368.80000000000007
17,411.7,352.7
18,415.0,338.05
19,418.0,323.40000000000003
20,421.35,308.15000000000003
21,425.5,293.94999999999993
22,430.25,281.15
23,435.29999999999995,270.70000000000005
24,441.25000000000006,264.1
25,447.0,258.85
26,453.5,255.09999999999997
27,460.79999999999995,251.45
28,470.0,247.85
29,478.69999999999993,244.95
30,487.45000000000005,243.65
31,496.70000000000005,243.8
32,508.0,243.14999999999998
33,519.7,242.2
34,531.5,240.74999999999997
35,544.15,240.3
36,555.5,242.04999999999998
37,568.0,245.4
38,580.5,250.54999999999998
39,594.25,256.5
40,607.9,262.75
41,621.55,269.65
42,635.6999999999998,276.9
43,648.1500000000001,283.44999999999993
44,662.15,289.6
45,675.8999999999999,296.35
46,690.6,303.35
47,704.8499999999999,310.44999999999993
48,717.8,317.95
49,731.1,325.65
50,744.25,333.94999999999993
51,755.9,342.29999999999995
52,767.9,351.15
53,778.6999999999999,360.20000000000005
54,790.05,369.75
55,800.9,378.8
56,811.7499999999999,388.24999999999994
57,821.9500000000002,398.35
58,832.6,409.2
59,843.45,420.1000000000001
